fft 200
center pad
big search window

10bit frac
car 0.17338003599950655
bolt 0.010926300953655694
face 0.7292075914347732
woman 0.5177577205792401
jump 0.5729944596116939
sunshade 0.4627849786513013
iceskater 0.1392350110603225
gymnastics 0.30234729462512516
bicycle 0.5354735707188529
david 0.5417926034724514
torus 0.16856413135535492
juice 0.6318000174105692
cup 0.2777587542167581
singer 0.3784064514613971
diving 0.10153620512122755
hand 0.11960539846386738
Mean IoU: 0.353973157821006

16bit frac
torus 0.17309035252469873
iceskater 0.13923504842275952
car 0.18847292957361847
bicycle 0.5353019200520792
face 0.7358938201390329
david 0.5419318866928955
woman 0.5112204143261911
sunshade 0.4620925745330018
jump 0.5729944596116939
gymnastics 0.3040375558400104
singer 0.3782844261583128
diving 0.10153620512122755
cup 0.2761741110385471
bolt 0.009055317370329722
hand 0.12006789584953571
juice 0.6317698690176782
Mean IoU: 0.3550724241419758
